Category,Text,O1Text,O1Plebs,O1Clergy,O1Generals,O1Banks,O1Gold,O1Special,O2Text,O2Plebs,O2Clergy,O2Generals,O2Banks,O2Gold,O2Special
Type: Event,"Spy Master: A little birdy told me a secret, m'Lord.",Do tell...,,,,,-1,"For -2 Gold a peek, you may peek at another SINGLE courtier's Secret Cards. You may not SHOW the cards, but what do you tell?","Shoo spy, don't bother me.",,,,,,
Type: Event,"Spy Master: I hear whispers of events brewing in the streets, m'Lord.",Meh.,,,,,,,Oh...?,,,,,-3,"For -1 Gold a peek, you may peek at the top X Event Cards. You may not SHOW, but what do you tell?"
Type: Event,"Spy Master: I can steer events in your direction... for a price, m'Lord.",The world is my oyster.,,,,,-10,"Look at the top 3 Event Cards and put them back in any order. You may not SHOW, but what do you tell?",That's too steep for me.,,,,,,
Type: Event,"Spy Master: M'Lord, I could whisper of your competition...",I simply must know...,,,,,-4,You (and only you) may inspect the Cups of a chosen courtier.,I already know everything.,,,,,,
Type: Persistent,"King: I am not to be disturbed for any reason... DND, for real. Like, totally.",Place this card in the center of the table with a counter on it.,,,,,,"For 6 turns, no one may be accused. Not by other courtiers or the King. Ignore any ""accused"" effects.",,,,,,,
Type: Event,"King: Who has two thumbs and crown? 
THIS GUY!",,,,,,4,Affects ALL courtiers.,,,,,,,
Type: Persistent,"King: My dog, Buboo, says I can't behead you for funsies. I can put you in time out, though! 
Go directly to Jail, do not pass Go, do not collect 200 Gold.",Place this in front of you with a counter on it.,-2,-2,-2,-2,,"For 3 turns, you gain the effect of this card BEFORE your Event Phase. 
Skip your Event Phase. (You may still act in other phases.)",,,,,,,
Type: Event,"King: I should build a grand University, where scholars can learn no matter there caste!","That is a grand idea, your Majesty! *mumble* and maybe you'll learn some grammar.",6,-8,,,,,God has already gifted his servants a King with the best words... and the best mind.,,8,,-6,,
Type: Event,"King: You there! Tell me, from where doest come MY supreme executive power?","The Lady of the Lake, her arm clad in the purest shimmering samite held aloft Excalibur from the bosom of the water, signifying by divine providence...",-5,4,2,,,... that I... I mean YOU... you were to carry Excalibur. THAT is why you are my king.,"Listen, strange women lyin' in ponds distributin' swords is no basis for a system of government.",5,-6,,,,"Supreme executive power derives from a mandate from the masses, not from some farcical aquatic ceremony!"
Type: Event,"Spy Master: History may not repeat, m'Lord, but it often rhymes... when you are the musician that is.","I know just what you mean, muahahaha.",,,,,-2,"For 1 Gold each, you may remove X cards from the Event Discard Pile and shuffle them back into the Event Deck.",I never could hold a tune.,,,,,,
Type: Event,"Spy Master: What goes around comes around, wouldn't you say, m'Lord?!",You really like your stupid cliches don't you?,,,,,,,Like a boomeraaaaaanggggg...,,,,,-8,Search and remove a Secret from the discard pile for yourself.
Type: Event,"Spy Master: There are known knowns, and known unknowns, and unknown unknowns.  Ya' know?",,,,,,-7,"Collect all courtier Secret Cards, shuffle them, and each courtier (starting with you) draws 1 Secret card from this deck until all the Secrets are evenly distributed.",Have you been drinking Sfeld brand Rum again?,,,,,,
Type: Event,"Spy Master: Should I say m'Lord or MER'Lord... 
Like a Mermaid. I mean Merman... get it?",OMG Shut UP!,,,,,,,"You came up with that really late at night after too much wine, didn't you?",,,,,,
Type: Secret,Move Along,"During any Event Phase, you may play this card cause that Event to apply to the courtier whose turn is next. Discard.",,,,,,,,,,,,,
Type: Secret,Reversal,Causes a reversal of turn direction.  Clockwise becomes counter clockwise or vice versa.  Discard.,,,,,,,,,,,,,
Type: Event,"Spy Master: Let me slip a little something in their drink at the next party won't you, m'Lord?",Who even does that??!,,,,,,,Shall I call you Roof-ie-us?,,,,,-3,Assign a courtier to place 4 Clout into a Cup of your choice.
Type: Inventory,"Spy Master: I owe you one for keeping the Queen out of my be... I mean, off my back.","Darn right you do, son.",,,,,,"Whenever a courtier acquires a Secret, you may immediately take a peek at it. (Place this in front of you until you are ready to use it.)",,,,,,,
Type: Event,"Treasurer: There is a revenue surplus this year, King.",We should reduce taxes on the people to stimulate economic growth.,2,,,2,,,Let's invest the surplus into our national institutions! New garrisons and the grandest cathedral!,,2,2,,,
Type: Event,"King, a fire has broken out in the inner city.
",We should save the garrison!,,-2,3,,,Save the vestibule!,,,3,-2,,,
Type: Event,Trash is building up in the city streets.,"It's peace time, we should use the soldiers for civil service... they won't mind... much?",,,-3,,,,Prisoners can do the clean up work.,-1,,,,,
Type: Event,A lunatic robber is hijacking caravans and giving the money to the poor.,"Deploy the Garrison to secure the trade routes, my King!",,,-3,3,,,"The fat cats are just belly aching, it's not really harming the banks... they have insurance after all.",3,,,-3,,
Type: Event,"General Lee: Would you like to come boar hunting, my King?","Nothing good has ever come from boar hunting, my liege.",,,-1,,,,"What could go wrong, sire?",,,,,,"Roll a D6.  On 5+ the King is gored.
Draw a new King's Psyche card, it remains secret until revealed as normal.
(If not playing with Psyche cards, discard and draw a new event.)"
Type: Event,"The King is dead, long live the King!",,,,,,,"Draw a new King's Psyche card, it remains secret until revealed as normal.
(If not playing with Psyche cards, discard and draw a new event.)",,,,,,,
Type: Event,Tag: You're it!,,,,,,,Assign the next turn to another courtier. Your turn is over (no additional actions of phases).,,,,,,,
Type: Persistent,"Bishop: My King, this courtier is proclaiming himself the Savior Reborn!",Wut?! That's proposterous!,-1,,1,,,"For 6 turns, you gain the effect of this card BEFORE your Event Phase. (Place this in front of you with a counter on it.)",The poor and downtrodden have nothing to fear from me.,1,-1,,,,"For 6 turns, you gain the effect of this card BEFORE your Event Phase. (Place this in front of you with a counter on it.)"
Type: Inventory,King: I dreamt that emaciated pigs devoured a star... what does it mean?,"Sire, I believe it is a warning from the Heavens that Famine is coming.",,,,,15,"If the next Persistent Event is...
- ""Famine!"", gain the Effect.
- Anything else, you are immediately ""Accused by the King""
(Place this in front of you until a Persistent Event is drawn.)","Dreams don't mean anything, my King.",-2,-2,,,,
Type: Inventory,"Witch: Coin in mud, dark and blood, days by days, 'fore flowers bud.","Oh, shove off you old hag.",,2,,2,,,"King, the treasury is at risk!",,,,,15,"If the next Persistent Event is...
- ""Depression!"", gain the Effect.
- Anything else, you are immediately ""Accused by the King""
(Place this in front of you until a Persistent Event is drawn.)"
Type: Inventory,"King: I dreamt of swords raining from the sky, piercing castle walls... could it be?","Majesty, bolster the garrison! War is coming to our doorstep!",,,,,15,"If the next Persistent Event is...
- ""War!"", gain the Effect.
- Anything else, you are immediately ""Accused by the King""
(Place this in front of you until a Persistent Event is drawn.)","It's nothing to be concerned with, in my opinion.",,,-4,,,
Type: Inventory,"Witch: Beware you men of bright cloth and dull wits. Challenge and trial, spit and bile.",Can someone shut her up? Please?,,4,,,,,"King, a wave of new thinking and world views cometh.",,,,,15,"If the next Persistent Event is...
- ""Renaissance!"", gain the Effect.
- Anything else, you are immediately ""Accused by the King""
(Place this in front of you until a Persistent Event is drawn.)"
Type: Event,General Lee: The commoners are spitting on the King's men and mocking your name. We must make an example of them!,"Truly, sire, a beheading or two would get the point across.",-3,,2,,,,"It would not due to torture and kill your own people, my liege.",4,,-1,,,
Type: Event,"Bishop: Merchants are competing with goods sold by the faith. Put an end to it, King!","Oh come on! You cry babies.
Competition is good for kingdom prosperity.",,-4,,2,,,"No one should be permited to impose on the offerings of the noble church... Right, my King?",,2,,-4,,
Type: Event,A fire has erupted in the castle!,Send the brigade to save the abby!,,3,-1,-3,,,We must protect the treasury!,,-3,-1,3,,
Type: Event,"Hoodwinked: Hey, what's that over there?!",,,,,,,Swap the 1 pair of Cup lids of another courtiers.,,,,,,,
Type: Event,Left Holdin' the Bag: Oh... I can't take all the credit.,,,,,,,Swap one of your Cups with the same Cup of another courtier.,,,,,,,
Type: Event,Sabotage: Kaboom!,,,,,,,You may destroy an Inventory card of another courtier.,,,,,,,
Type: Event,"Expert: My King, you shouldn't rely on me when the resident expert is right here...",,,,,,,"Draw another Event card. After reading it, assign the resolution of that event to another courtier.  After resolution, play/turns resumes as normal from you.",,,,,,,
Type: Inventory,Coercion: You'll do what I say if you know what's good for you.,,,,,,,"During another courtier's Event Phase, you may play this card and chose their option for them. (Place this in front of you until you are ready to use it.)",,,,,,,
,"
",,,,,,,,,,,,,,
